0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65
23,597,1,1,2,9,0,0,0,1,0,0,0,140.8,98.1,126.0,36.6,66
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68
6,166,0,0,0,4,0,0,0,0,0,0,0,11.8,15.5,24.0,5.1,69
36,587,2,2,2,9,0,0,0,1,0,0,0,165.8,249.9,67.0,48.2,70
5,129,0,0,0,4,0,0,0,1,0,0,0,0.6,17.2,17.0,3.1,71
26,435,2,1,2,3,0,0,0,0,0,0,0,110.4,24.3,104.0,23.7,72
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73
8,305,0,0,0,4,0,0,0,0,0,8,0,53.4,0.0,0.0,5.3,74
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75
28,630,0,1,3,5,0,0,0,0,0,0,0,150.0,44.7,3.0,20.0,76
25,630,0,0,3,5,0,0,0,1,0,0,0,238.0,23.4,119.0,38.1,77
41,630,1,1,3,5,0,0,0,0,0,0,0,190.8,100.1,30.0,32.1,78
24,630,0,0,3,5,0,0,0,1,0,0,0,243.0,4.7,23.0,27.3,79
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,81
16,361,1,0,2,3,0,0,0,3,0,0,0,54.2,23.7,43.0,12.1,82
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83
10,370,0,0,1,4,0,0,0,0,0,0,0,27.6,56.8,8.0,9.2,84
19,591,0,1,3,4,0,0,0,1,0,0,0,112.2,70.6,3.0,18.6,85
16,340,1,0,2,3,0,0,0,0,0,0,0,45.4,54.9,67.0,16.8,86
25,617,0,2,3,5,0,0,0,2,0,0,0,120.2,230.1,85.0,43.6,87
3,20,0,0,0,0,0,0,0,0,0,0,0,4.8,10.4,0.0,1.5,88
2,27,0,0,0,1,0,0,0,0,0,0,0,0.0,0.6,10.0,0.8,89
18,630,0,1,3,5,0,0,0,2,0,0,0,174.8,56.6,26.0,25.8,90
