98,2123,0,0,10,20,0,0,0,0,0,68,297,3,1
1439,29696,0,2,88,278,2,3,0,5,1,903,1830,11,2
22,482,0,0,3,7,0,0,0,0,0,9,33,3,3
825,17855,17,3,80,210,2,0,0,26,5,0,2064,7,4
544,13239,5,2,57,153,0,0,0,11,2,0,1838,6,5
144,3631,1,1,16,40,0,0,0,9,1,0,317,3,6
368,7306,4,12,35,82,0,0,0,12,0,0,843,4,7
419,9314,2,12,37,109,1,0,0,14,1,0,1177,11,8
237,6465,3,5,19,90,1,0,0,6,3,0,939,6,9
472,10688,1,10,50,122,0,0,0,13,0,0,1225,5,10
32,810,0,0,4,8,0,0,0,3,0,0,0,1,11
90,2274,2,2,8,30,0,0,0,11,0,0,0,5,12
638,8597,53,24,39,95,0,0,2,11,0,0,1578,3,14
1046,15601,65,54,53,174,0,0,1,6,0,0,1856,11,15
607,9875,23,46,51,100,0,0,0,6,0,0,1887,4,16
583,10786,25,37,52,112,0,0,1,12,1,0,2363,5,17
712,13558,29,39,60,152,1,0,0,26,0,0,2202,9,18
328,6137,9,19,28,83,0,0,0,6,0,0,843,6,19
175,5944,0,3,22,75,0,0,0,17,1,0,616,7,20
131,2084,5,7,14,26,0,0,0,1,0,0,150,2,21
51,1486,0,2,8,17,0,0,0,4,0,0,134,2,22
85,2483,2,3,10,32,0,0,0,5,2,0,0,1,23
369,9967,7,17,32,151,0,0,0,27,2,0,830,9,24
700,10897,69,27,52,117,1,0,0,16,2,0,2216,5,25
537,9822,36,26,40,128,0,0,0,12,0,0,1530,9,26
20,272,1,1,1,2,0,0,0,0,0,0,0,1,27
687,16789,1,0,46,241,0,2,0,10,0,598,1482,10,29
416,10362,0,1,35,168,0,5,0,5,0,305,797,5,30
82,2678,0,0,4,60,0,0,0,1,0,104,214,5,31
178,6324,0,5,16,121,0,0,0,9,2,0,462,2,32
226,6615,6,2,17,130,1,0,0,10,0,0,443,2,33
264,6345,7,8,17,116,0,0,0,3,0,0,491,2,34
189,5216,3,5,14,96,1,0,0,11,0,0,300,4,35
5,517,0,0,0,16,2,0,0,0,0,0,1,2,36
7,585,0,0,0,14,0,0,0,2,1,0,36,4,37
134,2830,4,2,10,46,0,0,0,5,1,0,246,5,38
